"","batting_team","velo","game"
"1","Chicago Cubs",91.3739130434783,663178
"2","Milwaukee Brewers",89.9461538461538,663178
"3","Cleveland Guardians",88.3357142857143,662766
"4","Kansas City Royals",90.552380952381,662766
"5","Pittsburgh Pirates",82.0571428571429,662021
"6","St. Louis Cardinals",88.8571428571429,662021
"7","New York Mets",82.748,662571
"8","Washington Nationals",88.05,662571
"9","Atlanta Braves",93.3388888888889,661577
"10","Cincinnati Reds",83.1695652173913,661577
"11","Houston Astros",88.5541666666667,661042
"12","Los Angeles Angels",86.45,661042
"13","Arizona Diamondbacks",91.025,663418
"14","San Diego Padres",88.0458333333333,663418
"15","Boston Red Sox",85.8714285714286,661333
"16","New York Yankees",93.116,661333
"17","Minnesota Twins",89.2391304347826,661750
"18","Seattle Mariners",84.685,661750
"19","Boston Red Sox",85.8714285714286,661333
"20","New York Yankees",93.116,661333
"21","Chicago White Sox",94.758064516129,662888
"22","Detroit Tigers",92.7272727272727,662888
"23","Oakland Athletics",88.2869565217391,661131
"24","Philadelphia Phillies",91.5730769230769,661131
"25","Baltimore Orioles",88.4526315789474,661918
"26","Tampa Bay Rays",86.9391304347826,661918
"27","Colorado Rockies",81.4272727272727,662933
"28","Los Angeles Dodgers",90.496,662933
"29","Minnesota Twins",89.2391304347826,661750
"30","Seattle Mariners",84.685,661750
"31","Miami Marlins",84.1757575757576,662124
"32","San Francisco Giants",91.864,662124
"33","New York Mets",91.3925925925926,662559
"34","Washington Nationals",90.3,662559
"35","Texas Rangers",89.7757575757576,661782
"36","Toronto Blue Jays",95.4458333333333,661782
"37","Atlanta Braves",90.5166666666667,661576
"38","Cincinnati Reds",85.2461538461538,661576
"39","Houston Astros",94.18125,661041
"40","Los Angeles Angels",87.5181818181818,661041
"41","Arizona Diamondbacks",89.1095238095238,663417
"42","San Diego Padres",92.1347826086957,663417
"43","Chicago Cubs",90.2933333333333,663147
"44","Milwaukee Brewers",84.205,663147
"45","Baltimore Orioles",93.5458333333333,661917
"46","Tampa Bay Rays",93.432,661917
"47","Chicago White Sox",96.1838709677419,662864
"48","Detroit Tigers",91.3684210526316,662864
"49","Minnesota Twins",88.8764705882353,661756
"50","Seattle Mariners",89.0285714285714,661756
"51","Pittsburgh Pirates",91.4206896551724,662020
"52","St. Louis Cardinals",83.1576923076923,662020
"53","Chicago Cubs",92.9923076923077,663205
"54","Milwaukee Brewers",88.8888888888889,663205
"55","Texas Rangers",90.1206896551724,661803
"56","Toronto Blue Jays",89.5923076923077,661803
"57","Oakland Athletics",87.6222222222222,661130
"58","Philadelphia Phillies",90.4363636363636,661130
"59","Miami Marlins",83.65,662123
"60","San Francisco Giants",92.7411764705882,662123
"61","Boston Red Sox",90.6380952380952,661332
"62","New York Yankees",94.5727272727273,661332
"63","Cleveland Guardians",87.6782608695652,662765
"64","Kansas City Royals",87.4965517241379,662765
"65","New York Mets",89.4037037037037,662588
"66","Washington Nationals",84.0947368421053,662588
"67","Atlanta Braves",92.5347826086957,661575
"68","Cincinnati Reds",85.085,661575
"69","Colorado Rockies",84.5,662931
"70","Los Angeles Dodgers",87.064,662931
"71","Arizona Diamondbacks",88.5666666666667,663404
"72","San Diego Padres",83.8677419354839,663404
"73","Houston Astros",84.3583333333333,661040
"74","Los Angeles Angels",93.49375,661040
"75","Oakland Athletics",89.6481481481482,661129
"76","Philadelphia Phillies",91.647619047619,661129
"77","Baltimore Orioles",85.7526315789474,661916
"78","Tampa Bay Rays",94.896,661916
"79","Chicago White Sox",91.4264705882353,662887
"80","Detroit Tigers",91.34,662887
"81","New York Mets",89.5652173913043,662570
"82","Washington Nationals",87.2130434782609,662570
"83","Atlanta Braves",92.3217391304348,661573
"84","Cincinnati Reds",83.9625,661573
"85","Texas Rangers",94.6214285714286,661802
"86","Toronto Blue Jays",91.9714285714286,661802
"87","Cleveland Guardians",90.9842105263158,662755
"88","Kansas City Royals",91.0111111111111,662755
"89","Minnesota Twins",95.55,661738
"90","Seattle Mariners",84.76,661738
"91","Pittsburgh Pirates",91.7548387096774,662019
"92","St. Louis Cardinals",89.7035714285714,662019
"93","Chicago Cubs",87.2529411764706,663204
"94","Milwaukee Brewers",94.395652173913,663204
"95","Colorado Rockies",90.6034482758621,662934
"96","Los Angeles Dodgers",85.2107142857143,662934
"97","Miami Marlins",92.3307692307692,662122
"98","San Francisco Giants",86.344,662122
"99","Houston Astros",87.6964285714286,661039
"100","Los Angeles Angels",89.556,661039
"101","Arizona Diamondbacks",88.65,663395
"102","San Diego Padres",92.1041666666667,663395
"103","Boston Red Sox",87.6958333333333,661316
"104","New York Yankees",94.5111111111111,661316
"105","Cleveland Guardians",85.741935483871,662754
"106","Kansas City Royals",91.3444444444444,662754
"107","Baltimore Orioles",87.704347826087,663403
"108","Milwaukee Brewers",87.4260869565217,663403
"109","Colorado Rockies",90.8064516129032,662042
"110","Texas Rangers",87.0428571428571,662042
"111","Boston Red Sox",90.4346153846154,662863
"112","Detroit Tigers",88.9952380952381,662863
"113","Oakland Athletics",88.7363636363636,661915
"114","Tampa Bay Rays",93.0909090909091,661915
"115","New York Mets",85.037037037037,661637
"116","Philadelphia Phillies",87.4047619047619,661637
"117","New York Yankees",89.58,661315
"118","Toronto Blue Jays",90.2296296296296,661315
"119","Atlanta Braves",87.3913043478261,661572
"120","Washington Nationals",88.484375,661572
"121","Minnesota Twins",91.8958333333333,661754
"122","Seattle Mariners",81.85,661754
"123","Los Angeles Angels",92.395652173913,661036
"124","Miami Marlins",90.2368421052632,661036
"125","San Diego Padres",85.9208333333333,662116
"126","San Francisco Giants",91.3,662116
"127","Boston Red Sox",87.0535714285714,662862
"128","Detroit Tigers",87.576,662862
"129","Cincinnati Reds",88.7238095238095,663088
"130","Cleveland Guardians",87.875,663088
"131","Chicago White Sox",91.7476190476191,661538
"132","Seattle Mariners",91.2291666666667,661538
"133","Chicago Cubs",88.5,662318
"134","Pittsburgh Pirates",78.95,662318
"135","Oakland Athletics",88.462962962963,661944
"136","Tampa Bay Rays",95.0625,661944
"137","New York Mets",84.0904761904762,661636
"138","Philadelphia Phillies",90.9842105263158,661636
"139","New York Yankees",95.1791666666667,661314
"140","Toronto Blue Jays",86.5913043478261,661314
"141","Baltimore Orioles",89.715,663295
"142","Milwaukee Brewers",87.8064516129032,663295
"143","Los Angeles Angels",92.3571428571429,661038
"144","Miami Marlins",85.1565217391304,661038
"145","Atlanta Braves",91.6323529411765,661571
"146","Washington Nationals",89.6230769230769,661571
"147","Los Angeles Dodgers",93.9384615384615,661753
"148","Minnesota Twins",86.1791666666667,661753
"149","Kansas City Royals",87.4071428571429,662017
"150","St. Louis Cardinals",94.232,662017
"151","Colorado Rockies",86.7791666666667,661995
"152","Texas Rangers",89.86,661995
"153","Arizona Diamondbacks",91.2695652173913,663411
"154","Houston Astros",88.9125,663411
"155","San Diego Padres",88.775,662104
"156","San Francisco Giants",94.8384615384615,662104
"157","Atlanta Braves",94.9315789473684,661570
"158","Washington Nationals",86.6083333333333,661570
"159","Cincinnati Reds",84.9428571428572,663117
"160","Cleveland Guardians",84.5833333333333,663117
"161","Chicago Cubs",88.195652173913,662317
"162","Pittsburgh Pirates",90.8190476190476,662317
"163","New York Mets",91.5208333333333,661643
"164","Philadelphia Phillies",86.0333333333333,661643
"165","Boston Red Sox",92.7677419354839,662885
"166","Detroit Tigers",92.6153846153846,662885
"167","Los Angeles Dodgers",88.31875,661734
"168","Minnesota Twins",84.3357142857143,661734
"169","Arizona Diamondbacks",88.7238095238095,663341
"170","Houston Astros",87.6821428571429,663341
"171","San Diego Padres",87.0347826086957,662115
"172","San Francisco Giants",87.4375,662115
"173","Oakland Athletics",87.2888888888889,661943
"174","Tampa Bay Rays",85.7035714285714,661943
"175","New York Yankees",95.6461538461539,661313
"176","Toronto Blue Jays",91.0185185185185,661313
"177","Baltimore Orioles",86.835,663433
"178","Milwaukee Brewers",84.6814814814815,663433
"179","Chicago White Sox",96.3,661530
"180","Seattle Mariners",82.9434782608696,661530
"181","Oakland Athletics",88.5136363636364,661942
"182","Tampa Bay Rays",85.9827586206897,661942
"183","Chicago White Sox",85.7695652173913,661529
"184","Seattle Mariners",80.5615384615385,661529
"185","Milwaukee Brewers",89.5181818181818,661292
"186","St. Louis Cardinals",81.0307692307692,661292
"187","Pittsburgh Pirates",89.7230769230769,662307
"188","Washington Nationals",85.9333333333333,662307
"189","Miami Marlins",86.0619047619048,661418
"190","Philadelphia Phillies",85.0551724137931,661418
"191","New York Yankees",93.075,661312
"192","Toronto Blue Jays",85.15,661312
"193","Los Angeles Angels",91.6875,661993
"194","Texas Rangers",86.640625,661993
"195","Detroit Tigers",89.4777777777778,662702
"196","Kansas City Royals",85.037037037037,662702
"197","Atlanta Braves",87.2695652173913,662237
"198","San Diego Padres",87.2085714285714,662237
"199","Chicago Cubs",87.6275862068966,662950
"200","Colorado Rockies",86.6448275862069,662950
"201","Cincinnati Reds",85.9461538461538,662627
"202","Los Angeles Dodgers",87.5413793103448,662627
"203","Arizona Diamondbacks",86.1555555555556,662485
"204","New York Mets",87.62,662485
"205","Boston Red Sox",87.665,663265
"206","Minnesota Twins",94.1809523809524,663265
"207","Pittsburgh Pirates",85.7681818181818,662291
"208","Washington Nationals",86.67,662291
"209","Miami Marlins",93.2615384615385,661417
"210","Philadelphia Phillies",86.7964285714286,661417
"211","Baltimore Orioles",90.0962962962963,663357
"212","New York Yankees",82.6791666666667,663357
"213","Oakland Athletics",88.1318181818182,661792
"214","Toronto Blue Jays",89.1259259259259,661792
"215","Cleveland Guardians",85.4736842105263,663136
"216","San Francisco Giants",93.4407407407407,663136
"217","Chicago White Sox",89.5166666666667,661528
"218","Tampa Bay Rays",82.6105263157895,661528
"219","Los Angeles Angels",92.356,662014
"220","Texas Rangers",87.992,662014
"221","Detroit Tigers",86.5086956521739,662701
"222","Kansas City Royals",87.4636363636364,662701
"223","Milwaukee Brewers",87.372,661267
"224","St. Louis Cardinals",86.3090909090909,661267
"225","Chicago Cubs",91.8129032258065,662960
"226","Colorado Rockies",91,662960
"227","Atlanta Braves",90.5461538461538,662236
"228","San Diego Padres",88.3352941176471,662236
"229","Houston Astros",88.2714285714286,662192
"230","Seattle Mariners",89.3466666666667,662192
"231","Cincinnati Reds",82.6538461538462,662620
"232","Los Angeles Dodgers",89.3454545454545,662620
"233","Arizona Diamondbacks",89.5,662626
"234","New York Mets",85.1833333333333,662626
"235","Chicago White Sox",91.85,661527
"236","Tampa Bay Rays",90.2578947368421,661527
"237","Oakland Athletics",88.4464285714286,661759
"238","Toronto Blue Jays",87.424,661759
"239","Atlanta Braves",89.2678571428571,662235
"240","San Diego Padres",89,662235
"241","Detroit Tigers",86.1105263157895,662798
"242","Kansas City Royals",87.192,662798
"243","Boston Red Sox",87.32,663238
"244","Minnesota Twins",92.6157894736842,663238
"245","Cleveland Guardians",92.1925925925926,663076
"246","San Francisco Giants",87.6416666666667,663076
"247","Miami Marlins",88.552,661416
"248","Philadelphia Phillies",93.7814814814815,661416
"249","Pittsburgh Pirates",89.1807692307692,662290
"250","Washington Nationals",87.053125,662290
"251","Los Angeles Angels",91.4172413793103,661981
"252","Texas Rangers",88.0666666666667,661981
"253","Baltimore Orioles",91.1807692307692,663266
"254","New York Yankees",90.275,663266
"255","Milwaukee Brewers",90.7333333333333,661335
"256","St. Louis Cardinals",86.9107142857143,661335
"257","Chicago Cubs",90.25625,662966
"258","Colorado Rockies",91.7285714285714,662966
"259","Houston Astros",92.7571428571429,662206
"260","Seattle Mariners",88.415,662206
"261","Cincinnati Reds",87.8888888888889,662619
"262","Los Angeles Dodgers",89.8666666666667,662619
"263","Baltimore Orioles",87.5705882352941,663365
"264","New York Yankees",89.91,663365
"265","Pittsburgh Pirates",89.1782608695652,662294
"266","Washington Nationals",86.5555555555556,662294
"267","Boston Red Sox",92.1866666666667,663308
"268","Minnesota Twins",88.2105263157895,663308
"269","Oakland Athletics",89.4416666666667,661804
"270","Toronto Blue Jays",92.552,661804
"271","Arizona Diamondbacks",88.0318181818182,662625
"272","New York Mets",85.0107142857143,662625
"273","Cleveland Guardians",90.436,663132
"274","San Francisco Giants",89.5607142857143,663132
"275","Miami Marlins",82.9137931034483,661415
"276","Philadelphia Phillies",85.4666666666667,661415
"277","Chicago White Sox",88.21,661462
"278","Tampa Bay Rays",90.64,661462
"279","Milwaukee Brewers",87.9291666666667,661226
"280","St. Louis Cardinals",84.5772727272727,661226
"281","Los Angeles Angels",85.0346153846154,662038
"282","Texas Rangers",94.004347826087,662038
"283","Chicago Cubs",89.59375,662930
"284","Colorado Rockies",84.4269230769231,662930
"285","Cincinnati Reds",92.3333333333333,662618
"286","Los Angeles Dodgers",93.8333333333333,662618
"287","Houston Astros",85,662174
"288","Seattle Mariners",87.8709677419355,662174
"289","Atlanta Braves",94.9238095238095,662234
"290","San Diego Padres",84.94,662234
"291","Boston Red Sox",91.3846153846154,663236
"292","Minnesota Twins",88.9551724137931,663236
"293","Chicago Cubs",94.5277777777778,663197
"294","Tampa Bay Rays",85.9105263157895,663197
"295","Milwaukee Brewers",87.6944444444444,661242
"296","Pittsburgh Pirates",87.8777777777778,661242
"297","Houston Astros",87.408,662928
"298","Los Angeles Angels",86.1157894736842,662928
"299","Colorado Rockies",89.712,662929
"300","Philadelphia Phillies",89.432,662929
"301","Baltimore Orioles",88.9363636363636,662407
"302","Oakland Athletics",89.2407407407407,662407
"303","Cincinnati Reds",89.6913043478261,662233
"304","San Diego Padres",82.33,662233
"305","Atlanta Braves",87.436,662617
"306","Los Angeles Dodgers",95.375,662617
"307","Chicago White Sox",87.4,663087
"308","Cleveland Guardians",90.264,663087
"309","Arizona Diamondbacks",92.8222222222222,662587
"310","Washington Nationals",83.0047619047619,662587
"311","Arizona Diamondbacks",89.5217391304348,662583
"312","Washington Nationals",86.8826086956522,662583
"313","New York Mets",83.104,662350
"314","San Francisco Giants",89.18,662350
"315","New York Mets",84.0416666666667,662616
"316","San Francisco Giants",87.3222222222222,662616
"317","Miami Marlins",85.6666666666667,661405
"318","St. Louis Cardinals",90.9928571428571,661405
"319","Detroit Tigers",85.1578947368421,662896
"320","New York Yankees",89.2952380952381,662896
"321","Boston Red Sox",88.1681818181818,663249
"322","Toronto Blue Jays",90.244,663249
"323","Chicago Cubs",88.6846153846154,663196
"324","Tampa Bay Rays",91.662962962963,663196
"325","Milwaukee Brewers",92.0411764705882,661211
"326","Pittsburgh Pirates",92.7555555555556,661211
"327","Houston Astros",90.0518518518519,662927
"328","Los Angeles Angels",92.0076923076923,662927
"329","Kansas City Royals",88.5875,662753
"330","Minnesota Twins",88.99,662753
"331","Colorado Rockies",84.4625,662925
"332","Philadelphia Phillies",92.4357142857143,662925
"333","Baltimore Orioles",90.962962962963,662406
"334","Oakland Athletics",86.4181818181818,662406
"335","Cincinnati Reds",88.7434782608696,662232
"336","San Diego Padres",87.295652173913,662232
"337","Seattle Mariners",86.492,662161
"338","Texas Rangers",90.0321428571429,662161
"339","Atlanta Braves",87.2933333333333,662717
"340","Los Angeles Dodgers",82.2611111111111,662717
"341","Chicago White Sox",85.515,663075
"342","Cleveland Guardians",87.1315789473684,663075
"343","Milwaukee Brewers",85.4791666666667,661203
"344","Pittsburgh Pirates",86.8222222222222,661203
"345","Chicago White Sox",89.5142857142857,663094
"346","Cleveland Guardians",90.5625,663094
"347","Chicago White Sox",85.515,663075
"348","Cleveland Guardians",87.1315789473684,663075
"349","Colorado Rockies",86.3896551724138,662924
"350","Philadelphia Phillies",95.296875,662924
"351","Atlanta Braves",88.785,662734
"352","Los Angeles Dodgers",85.1166666666667,662734
"353","Cincinnati Reds",86.5333333333333,662231
"354","San Diego Padres",88.0791666666667,662231
"355","Baltimore Orioles",88.9833333333333,662392
"356","Oakland Athletics",86.735,662392
"357","Chicago Cubs",85.6428571428571,663146
"358","Tampa Bay Rays",91.6277777777778,663146
"359","Houston Astros",84.5538461538462,662926
"360","Los Angeles Angels",89.6428571428571,662926
"361","Miami Marlins",86.5857142857143,661404
"362","St. Louis Cardinals",86.595652173913,661404
"363","Detroit Tigers",79.4407407407407,662861
"364","New York Yankees",90.548,662861
"365","Arizona Diamondbacks",90.1441176470588,662560
"366","Washington Nationals",87.004,662560
"367","New York Mets",83.3333333333333,662349
"368","San Francisco Giants",82.9695652173913,662349
"369","Boston Red Sox",91.225,663247
"370","Toronto Blue Jays",90.388,663247
"371","Kansas City Royals",85.39,662703
"372","Minnesota Twins",87.895652173913,662703
"373","Seattle Mariners",87.3708333333333,662178
"374","Texas Rangers",91.5678571428571,662178
"375","New York Mets",88.9740740740741,662593
"376","San Francisco Giants",86.9142857142857,662593
"377","Chicago White Sox",89.1259259259259,663093
"378","Cleveland Guardians",83.3878787878788,663093
"379","Detroit Tigers",84.2875,662850
"380","New York Yankees",91.7068965517241,662850
"381","Boston Red Sox",86.595652173913,663225
"382","Toronto Blue Jays",94.6384615384615,663225
"383","Kansas City Royals",88.98,662742
"384","Minnesota Twins",88.7037037037037,662742
"385","Baltimore Orioles",90.2652173913043,662391
"386","Oakland Athletics",89.4035714285714,662391
"387","Arizona Diamondbacks",92.5923076923077,662558
"388","Washington Nationals",89.2083333333333,662558
"389","Miami Marlins",87.832,661391
"390","St. Louis Cardinals",86.5105263157895,661391
"391","Chicago Cubs",86.3166666666667,663145
"392","Pittsburgh Pirates",83.8909090909091,663145
"393","Seattle Mariners",93.6772727272727,662177
"394","Texas Rangers",88.6107142857143,662177
"395","Cincinnati Reds",89.1083333333333,663169
"396","St. Louis Cardinals",84.1103448275862,663169
"397","San Francisco Giants",88.4357142857143,662557
"398","Washington Nationals",88.7166666666667,662557
"399","Cleveland Guardians",90.625,661311
"400","New York Yankees",92.5090909090909,661311
"401","Milwaukee Brewers",84.9047619047619,661621
"402","Philadelphia Phillies",90.9782608695652,661621
"403","Boston Red Sox",88.0896551724138,661914
"404","Tampa Bay Rays",92.4884615384615,661914
"405","Atlanta Braves",85.5041666666667,661569
"406","Miami Marlins",88.61875,661569
"407","Chicago Cubs",89.3217391304348,663195
"408","Pittsburgh Pirates",81.952,663195
"409","Houston Astros",82.4416666666667,662922
"410","Toronto Blue Jays",92.1307692307692,662922
"411","Chicago White Sox",83.7863636363636,661755
"412","Minnesota Twins",90.2666666666667,661755
"413","Baltimore Orioles",92.1428571428571,661037
"414","Los Angeles Angels",88.5142857142857,661037
"415","Arizona Diamondbacks",87.6192307692308,663394
"416","New York Mets",83.45,663394
"417","Los Angeles Dodgers",88.7592592592593,662230
"418","San Diego Padres",88.5285714285714,662230
"419","Kansas City Royals",92.724,662175
"420","Seattle Mariners",82.5708333333333,662175
"421","Oakland Athletics",89.1105263157895,662390
"422","Texas Rangers",91.1538461538462,662390
"423","San Francisco Giants",91.6178571428571,662549
"424","Washington Nationals",86.6916666666667,662549
"425","Cleveland Guardians",85.2142857142857,661310
"426","New York Yankees",96.3307692307692,661310
"427","Colorado Rockies",86.4227272727273,662848
"428","Detroit Tigers",91.3058823529412,662848
"429","Colorado Rockies",84.1315789473684,662849
"430","Detroit Tigers",84.2809523809524,662849
"431","Chicago Cubs",87.8441860465116,663144
"432","Pittsburgh Pirates",86.408,663144
"433","Chicago White Sox",86.5739130434783,661752
"434","Minnesota Twins",91.9185185185185,661752
"435","Milwaukee Brewers",88.8230769230769,661620
"436","Philadelphia Phillies",89.388,661620
"437","Oakland Athletics",90.3272727272727,662389
"438","Texas Rangers",89.6333333333333,662389
"439","Cincinnati Reds",82.89,663100
"440","St. Louis Cardinals",83.2333333333333,663100
"441","Houston Astros",88.0291666666667,662875
"442","Toronto Blue Jays",93.8310344827586,662875
"443","Boston Red Sox",87.2851851851852,661941
"444","Tampa Bay Rays",93.9833333333333,661941
"445","Atlanta Braves",93.1192307692308,661568
"446","Miami Marlins",87.5566666666667,661568
"447","Arizona Diamondbacks",87.1851851851852,663384
"448","New York Mets",89.4636363636364,663384
"449","Los Angeles Dodgers",86.3952380952381,662276
"450","San Diego Padres",83.2826086956522,662276
"451","Baltimore Orioles",88.3115384615385,661035
"452","Los Angeles Angels",90.8592592592593,661035
"453","Kansas City Royals",89.862962962963,662191
"454","Seattle Mariners",91.21,662191
"455","Colorado Rockies",85.759375,662853
"456","Detroit Tigers",88.8962962962963,662853
"457","Boston Red Sox",87.375,661931
"458","Tampa Bay Rays",90.062962962963,661931
"459","San Francisco Giants",90.7705882352941,662539
"460","Washington Nationals",82.884,662539
"461","Atlanta Braves",88.01,661590
"462","Miami Marlins",86.604,661590
"463","Cleveland Guardians",83.5090909090909,661317
"464","New York Yankees",91.9555555555556,661317
"465","Cincinnati Reds",90.6608695652174,663111
"466","St. Louis Cardinals",90.8958333333333,663111
"467","Houston Astros",88.0285714285714,662921
"468","Toronto Blue Jays",89.1103448275862,662921
"469","Chicago White Sox",91.04,661781
"470","Minnesota Twins",90.1217391304348,661781
"471","Chicago Cubs",84.404,663166
"472","Pittsburgh Pirates",83.9583333333333,663166
"473","Baltimore Orioles",93.7904761904762,661033
"474","Los Angeles Angels",87.7208333333333,661033
"475","Oakland Athletics",90.9,662388
"476","Texas Rangers",87.436,662388
"477","Arizona Diamondbacks",88.2125,663361
"478","New York Mets",89.0387096774193,663361
"479","Los Angeles Dodgers",90.0259259259259,662274
"480","San Diego Padres",84.2333333333333,662274
"481","Kansas City Royals",89.32,662188
"482","Seattle Mariners",86.534375,662188
"483","Milwaukee Brewers",87.1,661640
"484","Philadelphia Phillies",87.75625,661640
"485","Milwaukee Brewers",84.3695652173913,661210
"486","San Francisco Giants",88.53125,661210
"487","Colorado Rockies",90.2833333333333,661639
"488","Philadelphia Phillies",90.1185185185185,661639
"489","Boston Red Sox",94.3111111111111,661760
